# Hyperparameter Testing for Instance: pr07
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.2_mutant=0.5_gen=50_bias=0.7, 3069.06, 8, 7.393, 7, 6
pop=50_elite=0.2_mutant=0.5_gen=50_bias=0.8, 2866.41, 5, 10.688, 6, 6
pop=50_elite=0.2_mutant=0.5_gen=50_bias=0.9, 2801.08, 37, 22.368, 6, 6
pop=50_elite=0.2_mutant=0.5_gen=100_bias=0.7, 3078.19, 29, 13.571, 6, 6
pop=50_elite=0.2_mutant=0.5_gen=100_bias=0.8, 2857.3, 17, 14.694, 6, 6
pop=50_elite=0.2_mutant=0.5_gen=100_bias=0.9, 2952.74, 19, 10.674, 6, 6
pop=50_elite=0.2_mutant=0.5_gen=150_bias=0.7, 3164.72, 6, 6.291, 7, 6
pop=50_elite=0.2_mutant=0.5_gen=150_bias=0.8, 3224.91, 7, 7.016, 6, 6
pop=50_elite=0.2_mutant=0.5_gen=150_bias=0.9, 3045.56, 21, 11.115, 6, 6
pop=50_elite=0.2_mutant=0.5_gen=200_bias=0.7, 3112.47, 16, 7.848, 6, 6
pop=50_elite=0.2_mutant=0.5_gen=200_bias=0.8, 2751.17, 16, 12.912, 6, 6
pop=50_elite=0.2_mutant=0.5_gen=200_bias=0.9, 2619.62, 79, 34.141, 6, 6
pop=50_elite=0.2_mutant=0.5_gen=250_bias=0.7, 3150.03, 10, 8.49, 6, 6
pop=50_elite=0.2_mutant=0.5_gen=250_bias=0.8, 3067.65, 39, 14.721, 6, 6
pop=50_elite=0.2_mutant=0.5_gen=250_bias=0.9, 2737.01, 31, 18.547, 6, 6
pop=50_elite=0.3_mutant=0.1_gen=50_bias=0.7, 2374.49, 48, 24.8, 6, 6
pop=50_elite=0.3_mutant=0.1_gen=50_bias=0.8, 2713.53, 48, 27.668, 6, 6
pop=50_elite=0.3_mutant=0.1_gen=50_bias=0.9, 2726.26, 40, 27.383, 6, 6
pop=50_elite=0.3_mutant=0.1_gen=100_bias=0.7, 2528.44, 71, 56.469, 6, 6
pop=50_elite=0.3_mutant=0.1_gen=100_bias=0.8, 2389.25, 56, 51.303, 6, 6
pop=50_elite=0.3_mutant=0.1_gen=100_bias=0.9, 2646.16, 23, 21.511, 6, 6
pop=50_elite=0.3_mutant=0.1_gen=150_bias=0.7, 2414.12, 4, 16.516, 6, 6
pop=50_elite=0.3_mutant=0.1_gen=150_bias=0.8, 2555.73, 53, 43.533, 6, 6
pop=50_elite=0.3_mutant=0.1_gen=150_bias=0.9, 2586.93, 21, 22.547, 6, 6
pop=50_elite=0.3_mutant=0.1_gen=200_bias=0.7, 2538.16, 63, 46.163, 6, 6
pop=50_elite=0.3_mutant=0.1_gen=200_bias=0.8, 2486.41, 110, 63.192, 6, 6
pop=50_elite=0.3_mutant=0.1_gen=200_bias=0.9, 2708.02, 30, 22.201, 6, 6
pop=50_elite=0.3_mutant=0.1_gen=250_bias=0.7, 2386.1, 31, 36.396, 6, 6
pop=50_elite=0.3_mutant=0.1_gen=250_bias=0.8, 2501.26, 85, 55.74, 6, 6
pop=50_elite=0.3_mutant=0.1_gen=250_bias=0.9, 2502.76, 84, 56.914, 6, 6
pop=50_elite=0.3_mutant=0.2_gen=50_bias=0.7, 2786.34, 48, 19.097, 7, 6
pop=50_elite=0.3_mutant=0.2_gen=50_bias=0.8, 2958.81, 44, 19.804, 6, 6
pop=50_elite=0.3_mutant=0.2_gen=50_bias=0.9, 2680.75, 47, 26.945, 6, 6
pop=50_elite=0.3_mutant=0.2_gen=100_bias=0.7, 2434.82, 6, 31.655, 6, 6
pop=50_elite=0.3_mutant=0.2_gen=100_bias=0.8, 2554.74, 61, 29.888, 6, 6
pop=50_elite=0.3_mutant=0.2_gen=100_bias=0.9, 2759.27, 59, 36.443, 6, 6
pop=50_elite=0.3_mutant=0.2_gen=150_bias=0.7, 2836.43, 14, 10.376, 6, 6
pop=50_elite=0.3_mutant=0.2_gen=150_bias=0.8, 2885.11, 59, 22.826, 7, 6
pop=50_elite=0.3_mutant=0.2_gen=150_bias=0.9, 2643.95, 25, 56.166, 7, 6
pop=50_elite=0.3_mutant=0.2_gen=200_bias=0.7, 2875.7, 7, 12.867, 6, 6
pop=50_elite=0.3_mutant=0.2_gen=200_bias=0.8, 2209.8, 13, 56.917, 6, 6
pop=50_elite=0.3_mutant=0.2_gen=200_bias=0.9, 2359.57, 65, 53.423, 6, 6
pop=50_elite=0.3_mutant=0.2_gen=250_bias=0.7, 3017.24, 3, 6.991, 7, 6
pop=50_elite=0.3_mutant=0.2_gen=250_bias=0.8, 2382.04, 60, 42.306, 6, 6
pop=50_elite=0.3_mutant=0.2_gen=250_bias=0.9, 2555.83, 106, 75.269, 6, 6
pop=50_elite=0.3_mutant=0.3_gen=50_bias=0.7, 3101.54, 12, 10.036, 6, 6
pop=50_elite=0.3_mutant=0.3_gen=50_bias=0.8, 3117.98, 6, 6.233, 6, 6
pop=50_elite=0.3_mutant=0.3_gen=50_bias=0.9, 2735.67, 47, 24.651, 6, 6
pop=50_elite=0.3_mutant=0.3_gen=100_bias=0.7, 3136.84, 49, 15.75, 6, 6
pop=50_elite=0.3_mutant=0.3_gen=100_bias=0.8, 2452.38, 15, 38.238, 6, 6
pop=50_elite=0.3_mutant=0.3_gen=100_bias=0.9, 2205.03, 79, 60.801, 7, 6
pop=50_elite=0.3_mutant=0.3_gen=150_bias=0.7, 3029.37, 16, 10.679, 6, 6
pop=50_elite=0.3_mutant=0.3_gen=150_bias=0.8, 2632.08, 3, 13.098, 6, 6
pop=50_elite=0.3_mutant=0.3_gen=150_bias=0.9, 2536.31, 83, 44.981, 6, 6
pop=50_elite=0.3_mutant=0.3_gen=200_bias=0.7, 3003.89, 26, 13.489, 6, 6
pop=50_elite=0.3_mutant=0.3_gen=200_bias=0.8, 2638.24, 72, 30.72, 6, 6
pop=50_elite=0.3_mutant=0.3_gen=200_bias=0.9, 2490.56, 43, 39.32, 6, 6
pop=50_elite=0.3_mutant=0.3_gen=250_bias=0.7, 3107.73, 10, 10.342, 6, 6
pop=50_elite=0.3_mutant=0.3_gen=250_bias=0.8, 2573.52, 88, 50.35, 6, 6
pop=50_elite=0.3_mutant=0.3_gen=250_bias=0.9, 3094.95, 67, 20.727, 6, 6
pop=50_elite=0.3_mutant=0.4_gen=50_bias=0.7, 3107.64, 7, 9.804, 6, 6
pop=50_elite=0.3_mutant=0.4_gen=50_bias=0.8, 2929.98, 40, 19.338, 7, 6
pop=50_elite=0.3_mutant=0.4_gen=50_bias=0.9, 2655.67, 5, 15.17, 6, 6
pop=50_elite=0.3_mutant=0.4_gen=100_bias=0.7, 3039.26, 8, 8.84, 6, 6
pop=50_elite=0.3_mutant=0.4_gen=100_bias=0.8, 2527.29, 14, 29.724, 6, 6
pop=50_elite=0.3_mutant=0.4_gen=100_bias=0.9, 2744.33, 25, 16.955, 6, 6
pop=50_elite=0.3_mutant=0.4_gen=150_bias=0.7, 3203.9, 10, 7.876, 6, 6
pop=50_elite=0.3_mutant=0.4_gen=150_bias=0.8, 3078.61, 13, 8.667, 6, 6
pop=50_elite=0.3_mutant=0.4_gen=150_bias=0.9, 2923.54, 18, 14.196, 6, 6
pop=50_elite=0.3_mutant=0.4_gen=200_bias=0.7, 3191.75, 9, 7.633, 6, 6
pop=50_elite=0.3_mutant=0.4_gen=200_bias=0.8, 2910.68, 12, 10.875, 6, 6
