# Hyperparameter Testing for Instance: p01
# Format: config_string, best_distance, convergence_generation, execution_time, num_routes, num_used_depots
#
pop=50_elite=0.2_mutant=0.4_gen=200_bias=0.8, 1293.24, 21, 2.729, 11, 4
pop=50_elite=0.2_mutant=0.4_gen=200_bias=0.9, 1192.03, 21, 3.012, 11, 4
pop=50_elite=0.2_mutant=0.4_gen=250_bias=0.7, 1374.81, 7, 1.472, 11, 4
pop=50_elite=0.2_mutant=0.4_gen=250_bias=0.8, 1260.45, 45, 4.644, 11, 4
pop=50_elite=0.2_mutant=0.4_gen=250_bias=0.9, 1050.33, 19, 5.465, 11, 4
pop=50_elite=0.2_mutant=0.5_gen=50_bias=0.7, 1393.19, 8, 1.735, 11, 4
pop=50_elite=0.2_mutant=0.5_gen=50_bias=0.8, 1216.68, 4, 2.67, 11, 4
pop=50_elite=0.2_mutant=0.5_gen=50_bias=0.9, 1258.96, 8, 2.92, 11, 4
pop=50_elite=0.2_mutant=0.5_gen=100_bias=0.7, 1280.74, 5, 1.799, 11, 4
pop=50_elite=0.2_mutant=0.5_gen=100_bias=0.8, 1310.32, 0, 1.714, 11, 4
pop=50_elite=0.2_mutant=0.5_gen=100_bias=0.9, 1193.79, 8, 2.191, 11, 4
pop=50_elite=0.2_mutant=0.5_gen=150_bias=0.7, 1365.96, 20, 1.997, 11, 4
pop=50_elite=0.2_mutant=0.5_gen=150_bias=0.8, 1271.94, 0, 2.424, 11, 4
pop=50_elite=0.2_mutant=0.5_gen=150_bias=0.9, 1341.93, 10, 1.891, 11, 4
pop=50_elite=0.2_mutant=0.5_gen=200_bias=0.7, 1314.13, 5, 2.273, 11, 4
pop=50_elite=0.2_mutant=0.5_gen=200_bias=0.8, 1247.68, 7, 3.118, 11, 4
pop=50_elite=0.2_mutant=0.5_gen=200_bias=0.9, 1140.04, 9, 3.893, 11, 4
pop=50_elite=0.2_mutant=0.5_gen=250_bias=0.7, 1342.63, 35, 2.766, 11, 4
pop=50_elite=0.2_mutant=0.5_gen=250_bias=0.8, 1328.23, 11, 1.803, 11, 4
pop=50_elite=0.2_mutant=0.5_gen=250_bias=0.9, 1164.28, 7, 4.73, 11, 4
pop=50_elite=0.3_mutant=0.1_gen=50_bias=0.7, 1021.32, 49, 4.821, 11, 4
pop=50_elite=0.3_mutant=0.1_gen=50_bias=0.8, 1218.44, 35, 4.692, 11, 4
pop=50_elite=0.3_mutant=0.1_gen=50_bias=0.9, 1168.76, 10, 2.999, 11, 4
pop=50_elite=0.3_mutant=0.1_gen=100_bias=0.7, 1202.38, 5, 1.776, 11, 4
pop=50_elite=0.3_mutant=0.1_gen=100_bias=0.8, 1163.21, 69, 7.032, 11, 4
pop=50_elite=0.3_mutant=0.1_gen=100_bias=0.9, 1217.47, 25, 3.155, 11, 4
pop=50_elite=0.3_mutant=0.1_gen=150_bias=0.7, 1122.48, 23, 4.524, 11, 4
